sscal_:171: S -0.147008 0.000000  8 1
sscal_:171: S -0.180536 0.000000  5 1
sscal_:171: S -0.194791 0.000000  30 1
sscal_:171: S -0.248750 0.000000  24 1
sscal_:171: S -0.263444 0.000000  7 1
sscal_:171: S -0.264469 0.000000  13 1
sscal_:171: S -0.288548 0.000000  22 1
sscal_:171: S -0.314614 0.000000  9 1
sscal_:171: S -0.349634 0.000000  14 1
sscal_:171: S -0.403135 0.000000  23 1
dscal_:171: D -0.421537 0.000000  31 1
dscal_:171: D -0.449256 0.000000  40 1
dscal_:171: D -0.500709 0.000000  42 1
dscal_:171: D -0.514318 0.000000  26 1
dscal_:171: D -0.517960 0.000000  6 1
dscal_:171: D -0.538690 0.000000  46 1
dscal_:171: D -0.550148 0.000000  25 1
dscal_:171: D -0.559501 0.000000  44 1
dscal_:171: D -0.612256 0.000000  2 1
dscal_:171: D -0.755356 0.000000  45 1
cscal_:171: C -0.759262 -0.759262  47 1
cscal_:171: C -0.900525 -0.900525  48 1
cscal_:171: C 0.216330  0.216330 4 1
cscal_:171: C 0.220087  0.220087 10 1
cscal_:171: C 0.252043  0.252043 21 1
cscal_:171: C 0.280487  0.280487 15 1
cscal_:171: C 0.296225  0.296225 29 1
cscal_:171: C 0.299399  0.299399 18 1
cscal_:171: C 0.314779  0.314779 12 1
cscal_:171: C 0.321521  0.321521 17 1
zscal_:171: Z 0.324458  0.324458 11 1
zscal_:171: Z 0.339212  0.339212 0 1
zscal_:171: Z 0.359467  0.359467 20 1
zscal_:171: Z 0.364805  0.364805 19 1
zscal_:171: Z 0.377414  0.377414 28 1
zscal_:171: Z 0.384282  0.384282 3 1
zscal_:171: Z 0.394021  0.394021 36 1
zscal_:171: Z 0.411089  0.411089 37 1
zscal_:171: Z 0.429686  0.429686 27 1
zscal_:171: Z 0.436665  0.436665 34 1
csscal_:171: CS 0.459632  0.000000 33 1
csscal_:171: CS 0.468809  0.000000 16 1
csscal_:171: CS 0.471083  0.000000 32 1
csscal_:171: CS 0.474866  0.000000 38 1
csscal_:171: CS 0.487050  0.000000 35 1
csscal_:171: CS 0.553630  0.000000 39 1
csscal_:171: CS 0.591314  0.000000 1 1
csscal_:171: CS 0.600389  0.000000 41 1
csscal_:171: CS 0.749844  0.000000 43 1
csscal_:171: CS 1.002156  0.000000 49 1
zdscal_:171: ZD 0.459632  0.000000 33 1
zdscal_:171: ZD 0.468809  0.000000 16 1
zdscal_:171: ZD 0.471083  0.000000 32 1
zdscal_:171: ZD 0.474866  0.000000 38 1
zdscal_:171: ZD 0.487050  0.000000 35 1
zdscal_:171: ZD 0.553630  0.000000 39 1
zdscal_:171: ZD 0.591314  0.000000 1 1
zdscal_:171: ZD 0.600389  0.000000 41 1
zdscal_:171: ZD 0.749844  0.000000 43 1
zdscal_:171: ZD 1.002156  0.000000 49 1
